gtbboxid,classid,imageid,lx,rx,ty,by,difficult,split
56,57,25,0.0004,0.5480,0.0000,0.9984,0,train
57,58,25,0.5441,0.7902,0.1195,0.8148,0,train
58,59,25,0.8180,0.9992,0.0008,0.8289,0,train
59,60,26,0.0062,0.2656,0.0066,0.9996,0,train
60,61,26,0.2727,0.3742,0.1004,0.4762,0,train
61,62,26,0.3789,0.5320,0.1938,0.5328,0,train
62,63,26,0.5312,0.6172,0.2938,0.6313,0,train
63,64,26,0.5609,0.6594,0.3379,0.8621,0,train
64,65,26,0.6250,0.7328,0.2363,0.9590,0,train
65,66,26,0.6754,0.9996,0.0000,0.9969,0,train
66,67,27,0.3586,0.8383,0.2094,0.6687,0,train
67,68,28,0.0000,0.9984,0.0703,0.9984,0,train
68,69,29,0.0000,0.9781,0.1156,0.7953,0,train
69,70,30,0.0000,0.5156,0.0000,0.9938,0,train
70,71,30,0.5016,0.9328,0.0000,0.9984,0,train
71,72,30,0.5023,0.6867,0.0270,0.9902,0,train
72,73,30,0.5066,0.7887,0.0023,0.9977,0,train
73,74,30,0.7301,0.9996,0.1836,0.9992,0,train
74,75,31,0.0000,0.9406,0.0004,0.9637,0,train
75,76,31,0.7527,0.9832,0.0340,0.9191,0,train
76,77,32,0.3988,0.9996,0.0000,0.4844,0,train
77,78,33,0.0000,0.0344,0.3609,0.6281,0,train
78,79,33,0.0191,0.1480,0.3289,0.6773,0,train
79,80,33,0.1461,0.5445,0.2285,0.6824,0,train
80,81,33,0.5402,0.8020,0.3629,0.7512,0,train
81,82,33,0.7098,0.8902,0.3738,0.7434,0,train
82,83,33,0.9422,0.9812,0.5660,0.6871,0,train
83,84,33,0.9680,0.9992,0.3000,0.6797,0,train
84,85,34,0.0000,0.9984,0.0000,0.9984,0,train
85,86,35,0.1793,0.8410,0.1984,0.5547,0,train
86,87,36,0.0000,1.0000,0.0000,0.8531,0,train
87,88,37,0.0000,0.9984,0.0328,0.7312,0,train
88,89,38,0.0004,0.9934,0.1750,0.9859,0,train
89,90,39,0.0000,0.9984,0.2859,0.9156,0,train
90,91,40,0.0000,0.0328,0.5598,0.7590,0,train
91,92,40,0.0578,0.0953,0.5809,0.7332,0,train
92,93,40,0.0656,0.7594,0.0383,0.8352,0,train
93,94,40,0.7719,0.9969,0.4984,0.6859,0,train
94,95,41,0.0000,0.1406,0.1793,0.7754,0,train
95,96,41,0.1172,0.4188,0.3668,0.7379,0,train
96,97,41,0.2562,0.6578,0.1059,0.4285,0,train
97,98,41,0.6562,0.8047,0.1602,0.3789,0,train
98,99,41,0.8234,0.9984,0.0000,0.2469,0,train
99,100,42,0.2437,0.7953,0.3129,0.7715,0,train
100,101,43,0.1660,0.8371,0.1945,0.6367,0,train
101,102,44,0.0625,0.5312,0.4707,0.8793,0,train
102,103,44,0.4820,0.7414,0.5266,0.8484,0,train
103,104,44,0.8395,0.9996,0.6727,0.7914,0,train
104,105,44,0.9445,0.9992,0.6031,0.7000,0,train
105,106,45,0.0000,0.3578,0.4965,0.7910,0,train
106,107,45,0.3559,0.6957,0.0746,0.7707,0,train
107,108,45,0.5484,0.9828,0.4289,0.7789,0,train
108,109,45,0.5617,0.9398,0.5625,0.8172,0,train
109,110,46,0.0070,0.5539,0.0020,0.7949,0,train
110,111,46,0.5535,0.8152,0.0902,0.7441,0,train
111,112,46,0.8070,0.9992,0.0434,0.7629,0,train
112,113,47,0.0285,0.9855,0.1215,0.9379,0,train
113,114,48,0.0000,0.9984,0.0043,0.9973,0,train
114,115,48,0.4516,0.9984,0.0000,0.4359,0,train
115,116,49,0.0000,0.9563,0.0000,0.7156,0,train
116,117,50,0.5730,0.9988,0.6656,0.8063,0,train
117,118,50,0.8113,0.9996,0.6613,0.8074,0,train
118,119,51,0.0000,0.2328,0.6805,0.9992,0,train
119,120,51,0.1430,0.7195,0.1461,0.8180,0,train
120,121,51,0.1664,0.9992,0.4211,0.9992,0,train
121,122,52,0.0000,0.5031,0.0000,0.5547,0,train
122,123,53,0.0219,0.9859,0.0000,0.8891,0,train
123,124,53,0.0004,0.3059,0.0000,0.9125,0,train
124,125,53,0.3055,0.5258,0.0008,0.9133,0,train
125,126,53,0.5250,0.7516,0.0000,0.8781,0,train
126,127,53,0.7516,0.9844,0.0000,0.8781,0,train
127,128,54,0.0297,0.9375,0.0000,1.0000,0,train
128,129,55,0.0000,0.1406,0.4000,0.8047,0,train
129,130,55,0.1160,0.2574,0.4980,0.7598,0,train
130,131,55,0.1168,0.2035,0.5695,0.7648,0,train
131,132,55,0.2453,0.3109,0.5773,0.7570,0,train
132,133,55,0.2945,0.3961,0.6020,0.7684,0,train
133,134,55,0.3977,0.4914,0.6035,0.7730,0,train
134,135,55,0.4895,0.5715,0.3176,0.8371,0,train
135,136,55,0.5047,0.9984,0.0000,0.9656,0,train
136,137,56,0.0000,0.2687,0.0000,0.9984,0,train
137,138,56,0.3734,0.6266,0.0695,0.9102,0,train
138,139,56,0.5953,0.9969,0.0000,0.9984,0,train
139,140,57,0.0016,0.1250,0.5328,0.7578,0,train
140,141,57,0.0902,0.3723,0.4813,0.7375,0,train
141,142,57,0.3723,0.4965,0.6105,0.6988,0,train
142,143,57,0.5539,0.6258,0.6047,0.7063,0,train
143,144,57,0.6223,0.6777,0.5051,0.6746,0,train
144,145,57,0.6473,0.9996,0.0277,0.8348,0,train
145,146,58,0.0000,0.9984,0.0000,0.5797,0,train
146,147,59,0.0262,0.9598,0.2566,0.5730,0,train
147,148,60,0.0000,0.9984,0.0000,0.9313,0,train
148,149,61,0.2238,0.6684,0.1160,0.5559,0,train
149,150,61,0.8855,0.9988,0.1426,0.5590,0,train
150,151,62,0.0000,0.9984,0.0000,0.6672,0,train
151,152,63,0.0004,0.2871,0.5105,0.9988,0,train
152,153,63,0.1531,0.2469,0.4945,0.5930,0,train
153,154,64,0.4320,0.9914,0.1148,0.5742,0,train
154,155,65,0.0062,0.0406,0.5582,0.7730,0,train
155,156,65,0.0457,0.1637,0.5805,0.7898,0,train
156,157,65,0.1566,0.8590,0.0516,0.9078,0,train
157,158,65,0.8105,0.9988,0.3559,0.7598,0,train
158,159,66,0.0000,0.1641,0.5492,0.8008,0,train
159,160,66,0.4578,0.5469,0.6074,0.7082,0,train
160,161,66,0.5000,0.6281,0.5832,0.7324,0,train
161,162,66,0.6004,0.8777,0.5258,0.7102,0,train
162,163,66,0.8574,0.9988,0.4855,0.7270,0,train
163,164,67,0.0000,0.3422,0.0000,0.8078,0,train
164,165,67,0.4137,0.9988,0.2352,0.6227,0,train
165,166,68,0.0004,0.6730,0.0027,0.9973,0,train
166,167,68,0.5555,0.8961,0.0707,0.4090,0,train
167,168,69,0.0000,0.1281,0.1797,0.5312,0,train
168,169,69,0.0070,0.9992,0.0707,0.5840,0,train
169,170,70,0.0000,0.9984,0.0016,0.9547,0,train
170,171,70,0.9691,0.9965,0.4633,0.6492,0,train
171,172,71,0.0211,0.9805,0.0457,0.7512,0,train
172,173,72,0.2879,0.4355,0.0109,0.1531,0,train
173,174,72,0.2984,0.5109,0.0645,0.3340,0,train
174,175,72,0.4391,0.9359,0.0695,0.4133,0,train
175,176,73,0.1340,0.3145,0.5230,0.7160,0,train
176,177,73,0.2832,0.6512,0.2852,0.7430,0,train
177,178,73,0.7121,0.8832,0.4953,0.7016,0,train
178,179,73,0.9344,0.9906,0.3977,0.7477,0,train
179,180,74,0.0000,0.3375,0.4098,0.6855,0,train
180,181,74,0.3254,0.4309,0.4613,0.6293,0,train
181,182,74,0.5730,0.9988,0.1703,0.6312,0,train
182,183,75,0.0422,0.3984,0.3875,0.6828,0,train
183,184,75,0.4281,0.5016,0.4980,0.6832,0,train
184,185,75,0.5172,0.7516,0.3691,0.6480,0,train
185,186,75,0.7562,0.8547,0.4855,0.6082,0,train
186,187,75,0.8266,0.9984,0.3621,0.4848,0,train
187,188,76,0.1988,0.9918,0.3516,0.7984,0,train
188,189,76,0.2219,0.5188,0.3543,0.7957,0,train
189,190,76,0.5184,0.9879,0.4340,0.7941,0,train
190,191,77,0.0422,0.8578,0.0703,0.9078,0,train
191,192,78,0.0000,0.8547,0.1082,0.6652,0,train
192,193,78,0.7715,0.8816,0.4523,0.5773,0,train
193,194,79,0.0000,0.2969,0.5262,0.9426,0,train
194,195,79,0.3375,0.9969,0.0969,0.8094,0,train
195,196,80,0.0816,0.9996,0.0000,0.9984,0,train
196,197,81,0.0000,0.9984,0.0000,0.7453,0,train
197,198,82,0.1152,0.8301,0.1062,0.7312,0,train
198,199,82,0.7879,0.9480,0.4348,0.6512,0,train
199,200,83,0.0004,0.9996,0.2711,0.7164,0,train
200,201,84,0.0172,0.8078,0.1930,0.6945,0,train
201,202,85,0.0008,0.1039,0.5105,0.6926,0,train
202,203,85,0.0695,0.2523,0.5297,0.7047,0,train
203,204,85,0.3559,0.5160,0.5406,0.6578,0,train
204,205,85,0.4711,0.5977,0.5305,0.6633,0,train
205,206,85,0.5797,0.7453,0.4676,0.6824,0,train
206,207,85,0.7977,0.9039,0.5320,0.6383,0,train
207,208,86,0.0883,0.7727,0.3566,0.7059,0,train
208,209,86,0.2730,0.7426,0.1492,0.8148,0,train
209,210,86,0.9273,0.9992,0.6258,0.7227,0,train
210,211,87,0.0023,0.3117,0.0039,0.9867,0,train
211,212,87,0.2816,0.8684,0.0000,0.8125,0,train
212,213,87,0.8031,0.9875,0.0004,0.8246,0,train
213,214,88,0.0051,0.0918,0.2508,0.8133,0,train
214,215,88,0.0820,0.3367,0.6312,0.8000,0,train
215,216,88,0.3336,0.3992,0.6730,0.7598,0,train
216,217,88,0.4035,0.9340,0.0559,0.9066,0,train
217,218,88,0.9258,0.9992,0.5852,0.8430,0,train
218,219,89,0.4750,0.8781,0.3234,0.9125,0,train
219,220,90,0.0000,0.2391,0.3395,0.9996,0,train
220,221,90,0.2367,0.9992,0.1191,0.9996,0,train
221,222,91,0.3250,0.6031,0.5383,0.7836,0,train
222,223,91,0.5910,0.8324,0.5145,0.8012,0,train
223,224,91,0.8324,0.9332,0.6027,0.7488,0,train
224,225,92,0.0000,0.9984,0.0000,0.7609,0,train
225,226,93,0.0000,0.9984,0.0766,0.9984,0,train
226,227,94,0.0883,0.8836,0.3070,0.7789,0,train
227,228,94,0.9020,0.9996,0.5703,0.6344,0,train
228,229,95,0.0000,0.9984,0.0266,0.9141,0,train
229,230,96,0.0000,0.9984,0.0000,0.8797,0,train
230,231,97,0.4402,0.9332,0.3785,0.7684,0,train
231,232,98,0.0000,0.9094,0.3738,0.5824,0,train
232,233,99,0.0000,0.9297,0.1145,0.8996,0,train
233,234,100,0.0004,0.1199,0.5273,0.7461,0,train
234,235,100,0.0859,0.5844,0.0711,0.8492,0,train
235,236,100,0.4918,0.8082,0.0000,0.9875,0,train
236,237,100,0.6281,0.9984,0.0000,0.9984,0,train
237,238,101,0.0000,0.2328,0.5066,0.7059,0,train
238,239,101,0.1641,0.9984,0.0945,0.9055,0,train
239,240,102,0.1086,0.2805,0.3645,0.6887,0,train
240,241,102,0.1992,0.5789,0.5344,0.8891,0,train
241,242,102,0.4324,0.5535,0.0387,0.5832,0,train
242,243,102,0.5430,0.7477,0.3375,0.5953,0,train
243,244,102,0.6090,0.9988,0.1004,0.9980,0,train
244,245,103,0.0004,0.9199,0.0086,0.9992,0,train
245,246,104,0.0000,0.1031,0.0000,0.8000,0,train
246,247,104,0.0223,0.1246,0.0527,0.8004,0,train
247,248,104,0.0340,0.2379,0.2238,0.7934,0,train
248,249,104,0.2004,0.4027,0.1953,0.8000,0,train
249,250,104,0.3750,0.5766,0.2711,0.6445,0,train
250,251,104,0.4969,0.6734,0.2949,0.6879,0,train
251,252,104,0.5914,0.7539,0.3352,0.6664,0,train
252,253,104,0.7336,0.8336,0.3711,0.6633,0,train
253,254,104,0.8262,0.8801,0.3676,0.6730,0,train
254,255,104,0.8703,0.9875,0.2785,0.6637,0,train
255,256,104,0.9711,0.9992,0.4348,0.6699,0,train
256,257,105,0.1379,0.6418,0.2199,0.9988,0,train
257,258,105,0.3586,0.8477,0.2242,0.9961,0,train
258,259,105,0.4805,0.7508,0.4359,0.9984,0,train
259,260,105,0.5648,0.9992,0.1324,0.9988,0,train
260,261,106,0.1574,0.7816,0.1074,0.8020,0,train
261,262,107,0.0000,0.9984,0.0000,0.9922,0,train
262,263,108,0.0000,0.0922,0.4391,0.8250,0,train
263,264,108,0.0758,0.2539,0.4531,0.8516,0,train
264,265,108,0.2500,0.3531,0.6539,0.8961,0,train
265,266,108,0.2551,0.2949,0.5434,0.9051,0,train
266,267,108,0.3418,0.4988,0.5809,0.7238,0,train
267,268,108,0.3504,0.4918,0.6918,0.8738,0,train
268,269,108,0.5055,0.6164,0.6340,0.7238,0,train
269,270,108,0.5129,0.6621,0.7168,0.8676,0,train
270,271,108,0.6617,0.7273,0.6160,0.8684,0,train
271,272,108,0.7168,0.8738,0.6223,0.8699,0,train
272,273,108,0.7891,0.9547,0.5176,0.8559,0,train
273,274,108,0.9477,0.9992,0.6086,0.8805,0,train
274,275,109,0.0004,0.8434,0.3922,0.6406,0,train
275,276,109,0.8391,0.9984,0.5273,0.6039,0,train
276,277,110,0.1930,0.8148,0.0180,0.4930,0,train
277,278,110,0.0004,0.1215,0.1543,0.5020,0,train
278,279,110,0.0383,0.2383,0.1254,0.5012,0,train
279,280,110,0.1121,0.2723,0.1715,0.4832,0,train
280,281,110,0.2102,0.2883,0.2328,0.4828,0,train
281,282,110,0.3082,0.4715,0.0410,0.5293,0,train
282,283,110,0.4703,0.6359,0.0410,0.5309,0,train
283,284,110,0.6352,0.7492,0.0797,0.5172,0,train
284,285,110,0.7398,0.8398,0.1816,0.5293,0,train
285,286,110,0.8375,0.9453,0.2148,0.5289,0,train
286,287,111,0.0000,0.9984,0.1781,0.9984,0,train
287,288,112,0.0027,0.9988,0.0375,0.8313,0,train
288,289,113,0.0000,0.0641,0.0105,0.6395,0,train
289,290,113,0.0867,0.9992,0.0004,0.6355,0,train
290,291,114,0.0688,0.3344,0.3207,0.8715,0,train
291,292,114,0.0000,0.0375,0.1855,0.8988,0,train
292,293,114,0.0262,0.0566,0.1715,0.8816,0,train
293,294,114,0.0637,0.1270,0.2004,0.8574,0,train
294,295,114,0.2535,0.4059,0.3543,0.8723,0,train
295,296,114,0.3730,0.4551,0.3148,0.9148,0,train
296,297,114,0.4500,0.5406,0.1609,0.9531,0,train
297,298,114,0.5656,0.5891,0.0789,0.9445,0,train
298,299,114,0.5652,0.6863,0.0117,0.9867,0,train
299,300,114,0.6438,0.8203,0.0000,0.9922,0,train
300,301,114,0.7930,0.9992,0.0000,0.9984,0,train
301,302,115,0.3898,0.5586,0.6152,0.8863,0,train
302,303,116,0.0000,0.6797,0.2656,0.6953,0,train
303,304,116,0.8164,0.9992,0.1980,0.6645,0,train
304,305,117,0.0922,0.6906,0.2996,0.8707,0,train
305,306,117,0.3684,0.8848,0.1402,0.8066,0,train
306,307,118,0.0004,0.4012,0.0004,0.6684,0,train
307,308,118,0.3395,0.5215,0.0000,0.5000,0,train
308,309,118,0.6383,0.6992,0.2504,0.2777,0,train
309,310,118,0.6813,0.8141,0.0531,0.2969,0,train
310,311,118,0.7293,0.9988,0.0035,0.4418,0,train
311,312,119,0.0465,0.9770,0.0480,0.8863,0,train
312,313,119,0.0000,0.1688,0.0000,0.0375,0,train
313,314,119,0.4500,0.9984,0.0000,0.1922,0,train
314,315,120,0.0379,0.2059,0.4641,0.6047,0,train
315,316,120,0.1609,0.9453,0.1293,0.8223,0,train
316,317,120,0.9129,0.9996,0.5199,0.7566,0,train
317,318,121,0.0000,0.6469,0.5500,0.9797,0,train
318,319,122,0.0000,0.2328,0.3555,0.5602,0,train
319,320,122,0.2926,0.4965,0.3863,0.5168,0,train
320,321,122,0.5500,0.8391,0.3207,0.5684,0,train
321,322,123,0.0000,0.9984,0.0000,0.8344,0,train
322,323,124,0.5121,0.6051,0.3453,0.4109,0,train
323,324,125,0.5078,0.7641,0.4035,0.8152,0,train
324,325,126,0.0961,0.9992,0.0035,0.6293,0,train
325,326,127,0.0000,0.9984,0.0000,0.7750,0,train
326,327,128,0.0000,0.9984,0.0000,0.9984,0,train
327,328,129,0.0738,0.9996,0.0270,0.5559,0,train
328,329,130,0.0000,0.5672,0.4488,0.6230,0,train
329,330,130,0.5422,0.6906,0.5082,0.6090,0,train
330,331,130,0.6867,0.9883,0.4488,0.6105,0,train
331,332,131,0.4875,0.6719,0.2984,0.6094,0,train
332,333,131,0.5156,0.9984,0.0004,0.6527,0,train
333,334,132,0.0438,0.4906,0.0195,0.2742,0,train
334,335,133,0.1879,0.7777,0.4141,0.6859,0,train
335,336,134,0.0070,0.9992,0.4121,0.8535,0,train
336,337,134,0.0309,0.4629,0.6332,0.8605,0,train
337,338,134,0.4629,0.9996,0.3957,0.9074,0,train
338,339,135,0.1566,0.8918,0.0461,0.9227,0,train
339,340,136,0.0328,0.5750,0.0000,1.0000,0,train
340,341,137,0.0000,0.6156,0.0000,0.9984,0,train
341,342,138,0.0023,0.3992,0.2086,0.8133,0,train
342,343,138,0.4117,0.7930,0.0578,0.8000,0,train
343,344,138,0.7879,0.9996,0.4848,0.7230,0,train
344,345,139,0.0000,0.7781,0.0000,0.7578,0,train
345,346,139,0.6977,0.9992,0.0957,0.7605,0,train
346,347,140,0.0656,0.9313,0.0582,0.6137,0,train
347,348,141,0.0141,0.9953,0.0000,0.9984,0,train
348,349,142,0.0000,0.7125,0.0000,0.9359,0,train
349,350,142,0.3008,0.5023,0.0383,0.8273,0,train
350,351,142,0.4699,0.7082,0.1516,0.8000,0,train
351,352,142,0.7066,0.9996,0.0000,0.9984,0,train
352,353,143,0.0938,0.4359,0.1488,0.4934,0,train
353,354,143,0.0094,0.9750,0.7695,0.8773,0,train
354,355,144,0.2520,0.5527,0.4602,0.7102,0,train
355,356,145,0.0016,0.2609,0.1965,0.5598,0,train
356,357,145,0.4160,0.5715,0.3660,0.5199,0,train
357,358,145,0.4188,0.5641,0.3863,0.4605,0,train
358,359,145,0.5695,0.6352,0.4309,0.5066,0,train
359,360,145,0.7340,0.8941,0.3809,0.4863,0,train
360,361,146,0.0355,0.8645,0.0000,0.8953,0,train
361,362,147,0.0000,0.2094,0.1000,0.5609,0,train
362,363,147,0.1891,0.9234,0.0000,0.6453,0,train
363,364,147,0.9031,1.0000,0.1637,0.5676,0,train
364,365,148,0.1906,0.8969,0.5219,0.8812,0,train
365,366,149,0.0328,0.8703,0.0469,0.8125,0,train
366,367,150,0.0004,0.3199,0.2875,0.4281,0,train
367,368,150,0.3227,0.5945,0.3461,0.4211,0,train
368,369,150,0.4641,0.6719,0.4141,0.5734,0,train
369,370,150,0.6129,0.9996,0.1437,0.7453,0,train
370,371,151,0.0000,0.1609,0.1645,0.7090,0,train
371,372,151,0.1977,0.8570,0.2313,0.6375,0,train
372,373,151,0.7293,0.9988,0.2102,0.6227,0,train
373,374,152,0.1699,0.5613,0.0406,0.6344,0,train
374,375,152,0.0000,0.1812,0.3102,0.5539,0,train
375,376,152,0.5078,0.6234,0.3090,0.6113,0,train
376,377,152,0.5832,0.7230,0.3359,0.5563,0,train
377,378,152,0.7223,0.9996,0.3629,0.5590,0,train
378,379,153,0.2152,0.6863,0.2199,0.8098,0,train
379,380,154,0.1625,1.0000,0.0410,0.8824,0,train
380,381,155,0.1395,0.3277,0.6992,0.8117,0,train
381,382,155,0.0105,0.3770,0.0164,0.3695,0,train
382,383,155,0.5656,0.6516,0.7297,0.7953,0,train
383,384,155,0.6980,0.7520,0.7297,0.8016,0,train
384,385,155,0.7680,0.9633,0.7199,0.8035,0,train
385,386,156,0.1551,0.9090,0.1531,0.9250,0,train
386,387,157,0.0000,0.9984,0.2695,0.7852,0,train
387,388,157,0.8449,0.9988,0.2844,0.7453,0,train
388,389,158,0.0000,0.0906,0.2855,0.5004,0,train
389,390,158,0.0891,0.2188,0.3000,0.5094,0,train
390,391,158,0.1543,0.2020,0.2457,0.2855,0,train
391,392,158,0.2023,0.2320,0.2520,0.2824,0,train
392,393,158,0.2996,0.5723,0.1434,0.4754,0,train
393,394,158,0.6086,0.9961,0.0000,0.5062,0,train
394,395,159,0.0000,0.9984,0.0813,0.7578,0,train
395,396,160,0.0000,0.3406,0.0000,0.7672,0,train
396,397,160,0.3258,0.5367,0.0094,0.8000,0,train
397,398,160,0.5367,0.7477,0.1062,0.8016,0,train
398,399,160,0.7480,0.9988,0.2359,0.8000,0,train
399,400,161,0.0320,0.9680,0.4352,0.9695,0,train
400,401,162,0.0426,0.9980,0.0195,0.9945,0,train
401,402,163,0.2523,0.4477,0.4969,0.6312,0,train
402,403,163,0.4668,0.5551,0.5746,0.6332,0,train
403,404,163,0.5668,0.6395,0.5973,0.6246,0,train
404,405,163,0.6426,0.6918,0.5926,0.6277,0,train
405,406,163,0.8570,0.9992,0.3652,0.6004,0,train
406,407,164,0.0172,1.0000,0.0641,0.9922,0,train
407,408,165,0.0000,0.9984,0.0000,0.9984,0,train
408,409,166,0.1301,0.8949,0.2172,0.9531,0,train
409,410,167,0.0004,0.0434,0.3246,0.4066,0,train
410,411,167,0.0039,0.5148,0.1770,0.6480,0,train
411,412,167,0.4543,0.8910,0.2758,0.6336,0,train
412,413,167,0.8590,0.9988,0.3246,0.6473,0,train
413,414,168,0.0000,0.9969,0.2172,0.8438,0,train
414,415,168,0.9020,0.9980,0.5484,0.7672,0,train
415,416,169,0.1578,0.8703,0.2066,0.7355,0,train
416,417,170,0.0000,0.3125,0.3281,0.5250,0,train
417,418,170,0.2195,0.8570,0.0949,0.7645,0,train
418,419,170,0.8355,0.9988,0.3395,0.7590,0,train
419,420,171,0.0188,0.0500,0.3332,0.3902,0,train
420,421,171,0.0430,0.1023,0.3258,0.3883,0,train
421,422,171,0.0938,0.1578,0.3355,0.3957,0,train
422,423,171,0.1562,0.2531,0.3063,0.4156,0,train
423,424,171,0.2578,0.3453,0.3070,0.4414,0,train
424,425,171,0.3121,0.4254,0.2883,0.4430,0,train
425,426,171,0.4129,0.4684,0.2832,0.4121,0,train
426,427,171,0.4258,0.4820,0.2746,0.4582,0,train
427,428,171,0.4617,0.9992,0.0969,0.6047,0,train
428,429,172,0.0000,0.9328,0.0000,0.9984,0,train
429,430,173,0.0000,0.0594,0.3723,0.5168,0,train
430,431,173,0.0492,0.2133,0.4031,0.5125,0,train
431,432,174,0.0000,0.9984,0.0000,0.9984,0,train
432,433,175,0.0168,0.2238,0.1641,0.4188,0,train
433,434,175,0.4195,0.8023,0.1859,0.4656,0,train
434,435,175,0.7539,0.9195,0.2344,0.4250,0,train
435,436,176,0.0422,0.9578,0.0000,0.9281,0,train
436,437,177,0.1477,0.9992,0.0871,0.9207,0,train
437,438,178,0.0453,0.7484,0.1203,0.7031,0,train
438,439,178,0.0590,0.2785,0.1492,0.6992,0,train
439,440,178,0.2793,0.4832,0.1945,0.6992,0,train
440,441,178,0.4824,0.7332,0.1953,0.7109,0,train
441,442,178,0.7613,0.9137,0.4156,0.6906,0,train
442,443,178,0.9129,0.9449,0.6125,0.7109,0,train
443,444,179,0.0000,0.9828,0.0324,0.8613,0,train
444,445,180,0.3320,0.4945,0.4035,0.5762,0,train
445,446,180,0.0758,0.1008,0.5285,0.5855,0,train
446,447,180,0.1742,0.2508,0.5379,0.5949,0,train
447,448,181,0.0047,0.3375,0.2441,0.6152,0,train
448,449,181,0.3301,0.6262,0.4020,0.5934,0,train
449,450,181,0.6219,1.0000,0.2277,0.6066,0,train
450,451,182,0.0000,0.9875,0.0000,0.8344,0,train
451,452,183,0.1965,0.7551,0.2762,0.7691,0,train
452,453,184,0.0523,0.1836,0.3789,0.5242,0,train
453,454,184,0.2621,0.7770,0.0312,0.6469,0,train
454,455,184,0.7723,0.9996,0.4824,0.6629,0,train
455,456,185,0.0000,0.9984,0.0344,0.9984,0,train
456,457,186,0.0000,0.9922,0.0000,0.9109,0,train
457,458,187,0.0152,0.0926,0.3555,0.5273,0,train
458,459,187,0.0527,0.9988,0.0000,0.6188,0,train
459,460,188,0.1039,0.9680,0.3711,0.7508,0,train
460,461,189,0.0621,0.9660,0.0953,0.9797,0,train
461,462,190,0.0000,0.0406,0.4902,0.7988,0,train
462,463,190,0.0102,0.9148,0.2508,0.8711,0,train
463,464,190,0.9109,0.9844,0.6188,0.8313,0,train
